"Name","Code","Type_","Period_","STMTYPECODE","ITEM","COA","Value_","Desc_","Unit","IsCurrency","Consolidated"
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,1,RNTS,514880.0,Net Sales,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,10,SREV,514880.0,Revenue,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,31,RTLR,514880.0,Total Revenue,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,34,ECOR,14840.0,Cost of Revenue,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,36,SCOR,14840.0,"Cost of Revenue, Total",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,37,SGRP,500040.0,Gross Profit,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,53,ELAR,256310.0,Labor & Related Expense,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,55,SSGA,256310.0,"Selling/General/Admin. Expenses, Total",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,57,EDEP,8680.0,Depreciation,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,58,EAMI,1070.0,Amortization of Intangibles,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,60,SDPR,9750.0,Depreciation/Amortization,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,70,ELIT,0.0,Litigation,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,73,EUIE,-10.0,Other Unusual Expense (Income),M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,74,SUIE,-10.0,Unusual Expense (Income),M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,80,EOOE,98270.0,Other Operating Expense,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,81,EONT,-70.0,"Other, Net",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,82,SOOE,98200.0,"Other Operating Expenses, Total",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,83,ETOE,379090.0,Total Operating Expense,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,84,SOPI,135790.0,Operating Income,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,85,NIEN,-1160.0,Interest Expense - Non-Operating,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,87,SIEN,-1160.0,"Interest Expense, Net Non-Operating",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,88,NIIN,6920.0,Interest Income - Non-Operating,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,89,NINV,9310.0,Investment Income - Non-Operating,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,90,SIIN,16230.0,Interest/Invest Income -  Non-Operating,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,92,NGLA,10.0,Gain (Loss) on Sale of Assets,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,126,NONT,930.0,Other Non-Operating Income (Expense),M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,127,SONT,930.0,"Other, Net",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,128,EIBT,151800.0,Net Income Before Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,129,TTAX,37870.0,Provision for Income Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,130,TIAT,113930.0,Net Income After Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,134,NIBX,113930.0,Net Income Before Extra. Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,140,NINC,113930.0,Net Income,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,147,CIAC,113930.0,Income Available to Com Excl ExtraOrd,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,148,XNIC,113930.0,Income Available to Com Incl ExtraOrd,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,149,SBAS,3618.29671,Basic Weighted Average Shares,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,150,SBBF,31.48719,Basic EPS Excluding Extraordinary Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,151,SBAI,31.48719,Basic EPS Including Extraordinary Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,153,SDNI,113930.0,Diluted Net Income,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,154,SDWS,3618.29671,Diluted Weighted Average Shares,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,155,SDBF,31.48719,Diluted EPS Excluding ExtraOrd Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,156,SDAI,31.48719,Diluted EPS Including ExtraOrd Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,157,DDPS1,28.0,DPS - Common Stock Primary Issue,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,171,VIEX,1160.0,"Interest Expense, Supplemental",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,173,VDEP,8680.0,"Depreciation, Supplemental",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,175,STSI,-20.0,Total Special Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,176,VPTI,151780.0,Normalized Income Before Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,177,STEC,-4.98946,Effect of Special Items on Income Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,178,VITN,37865.01054,Inc Tax Ex Impact of Sp Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,179,VIAT,113914.98946,Normalized Income After Taxes,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,180,VIAC,113914.98946,Normalized Inc. Avail to Com.,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,181,VBES,31.48304,Basic Normalized EPS,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,182,VDES,31.48304,Diluted Normalized EPS,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,184,VAMI,1070.0,"Amort of Intangibles, Supplemental",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,209,SGPP,97.11778,Gross Margin,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,210,SOPP,26.37314,Operating Margin,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,211,SPTM,29.4826,Pretax Margin,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,212,SETR,24.9473,Effective Tax Rate,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,213,SNPM,22.12749,Net Profit Margin,M,0,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,214,SBIT,135780.0,Normalized EBIT,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,215,SBDA,145530.0,Normalized EBITDA,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,221,VCTR,39250.0,Current Tax - Total,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,222,VCTC,39250.0,Current Tax - Total,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,227,VDTR,-1380.0,Deferred Tax - Total,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,228,VDTC,-1380.0,Deferred Tax - Total,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,233,VITT,37870.0,Income Tax - Total,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,999,SNIN,15070.0,"Interest Inc.(Exp.),Net-Non-Op., Total",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,1068,VLAR,256310.0,Labor & Related Expense Suppl.,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,1130,VDRU,2990.0,"Depreciation of Right-of-Use Assets,Sup.",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",1,1132,VIEL,1160.0,"Interest Expense on Lease Liabs., Suppl.",M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,834,ONET,435590.0,Net Income/Starting Line,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,835,SDEP,38870.0,Depreciation,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,837,SDED,38870.0,Depreciation/Depletion,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,846,OUIE,-2740.0,Unusual Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,849,ONCI,81320.0,Other Non-Cash Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,850,SNCI,78580.0,Non-Cash Items,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,853,SCTP,105830.0,Cash Taxes Paid,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,854,SCIP,5900.0,Cash Interest Paid,M,1,0
Tata Consultancy Services Ltd (Parent),67676,2,"2024-03-31",2,856,OACR,-35180.0,Accounts Receivable,M,1,0
